SoldAs,IdentifiedAs,CommonName,Mislabelled,PurchaseLocation,City,Year,ExpectedGen,ExpectedMoreGen,RealGen,RealMoreGen,isMislabelled
Pickerel,Sander lucioperca,"Pike-perch (Pike-perch,
European Walleye,
European Pickerel, Zander)",Yes,Restaurant,ottawa,2018,Pickerel,Pickerel,Pike,Pike,1
Rainbow trout,Oncorhynchus mykiss,"Rainbow trout (Rainbow
trout, Steelhead, Steelhead
salmon, Steelhead trout,
Trout, Deep Sea Trout)",No,Restaurant,ottawa,2018,Rainbow trout,Trout,Rainbow trout,Trout,0
Rainbow trout,Oncorhynchus mykiss,"Rainbow trout (Rainbow
trout, Steelhead, Steelhead
salmon, Steelhead trout,
Trout, Deep Sea Trout)",No,Restaurant,ottawa,2018,Rainbow trout,Trout,Rainbow trout,Trout,0
Black cod,Anoplopoma fimbria,"Sablefish (Sablefish, Black
cod)",No,Restaurant,ottawa,2018,Black cod,Cod,Sablefish,Sablefish,0
Sablefish,Anoplopoma fimbria,"Sablefish (Sablefish, Black
cod)",No,Restaurant,ottawa,2018,Sablefish,Sablefish,Sablefish,Sablefish,0
Sea Bass,Dicentrarchus labrax,European Bass (Sea Bass),No,Restaurant,ottawa,2018,Sea Bass,Bass,European Bass,Bass,0
"Salmon, Wild",Salmo salar,"Atlantic salmon (Atlantic
salmon, salmon)","Yes – wild salmon can only be
Pacific. This in fact was Atlantic",Restaurant,ottawa,2018,"Salmon, Wild",Salmon,Atlantic salmon,Salmon,0
"Salmon, Sockeye
Pacific",Oncorhynchus nerka,"Sockeye salmon (Red
salmon, Red sockeye
salmon, Sockeye salmon)",No,Restaurant,ottawa,2018,"Salmon, Sockeye
Pacific",Salmon,Sockeye salmon,Salmon,0
"Salmon, Pacific",Oncorhyncus keta,"Chum salmon (Chum
salmon, Keta salmon,
Silverbrite salmon)","Yes - species information required
by CFIA for Pacific salmon",Restaurant,ottawa,2018,"Salmon, Pacific",Salmon,Chum salmon,Salmon,0
"Salmon, Coho",Oncorhynchus nerka,"Sockeye salmon (Red
salmon, Red sockeye
salmon, Sockeye salmon)","Yes - species information
required by CFIA for Pacific
salmon",Restaurant,ottawa,2018,"Salmon, Coho",Salmon,Sockeye salmon,Salmon,0
"Salmon, Sockeye",Oncorhynchus nerka,"Sockeye salmon (Red
salmon, Red sockeye
salmon, Sockeye salmon)",No,Grocerystore,ottawa,2018,"Salmon, Sockeye",Salmon,Sockeye salmon,Salmon,0
"Salmon, Wild",Oncorhyncus keta,"Chum salmon (Chum
salmon, Keta salmon,
Silverbrite salmon)","Yes - species information required
by CFIA for Pacific salmon",Restaurant,ottawa,2018,"Salmon, Wild",Salmon,Chum salmon,Salmon,0
"Salmon, Pacific Pink","Oncorhynchus
gorbuscha","Pink salmon (Pacific Pink
salmon, Pink salmon)",No,Grocerystore,ottawa,2018,"Salmon, Pacific Pink",Salmon,Pink salmon,Salmon,0
"Salmon, Keta",Oncorhyncus keta,"Chum salmon (Chum
salmon, Keta salmon,
Silverbrite salmon)",No,Grocerystore,ottawa,2018,"Salmon, Keta",Salmon,Chum salmon,Salmon,0
"Salmon, Sockeye",Oncorhynchus nerka,"Sockeye salmon (Red
salmon, Red sockeye
salmon, Sockeye salmon)",No,Grocerystore,ottawa,2018,"Salmon, Sockeye",Salmon,Sockeye salmon,Salmon,0
"Salmon, Pacific Pink","Oncorhynchus
gorbuscha","Pink salmon (Pacific Pink
salmon, Pink salmon)",No,Grocerystore,ottawa,2018,"Salmon, Pacific Pink",Salmon,Pink salmon,Salmon,0
"Salmon, Pink",Oncorhyncus keta,"Chum salmon (Chum
salmon, Keta salmon,
Silverbrite salmon)",Yes,Grocerystore,ottawa,2018,"Salmon, Pink",Salmon,Chum salmon,Salmon,1
"Salmon, Pink","Oncorhynchus
gorbuscha","Pink salmon (Pacific Pink
salmon, Pink salmon)",No,Grocerystore,ottawa,2018,"Salmon, Pink",Salmon,Pink salmon,Salmon,0
"Salmon, Sockeye",Oncorhynchus nerka,"Sockeye salmon (Red
salmon, Red sockeye
salmon, Sockeye salmon)",No,Grocerystore,ottawa,2018,"Salmon, Sockeye",Salmon,Sockeye salmon,Salmon,0
Snapper,Oreochromis aureus,Blue tilapia (n/a),"Yes – species substitution; O.
aureus not on CFIA’s fish list",Restaurant,ottawa,2018,Snapper,Snapper,Blue tilapia,Tilapia,0
"Snapper, BC",Sebastes alutus,"Pacific ocean perch
(Rockfish, Rosefish, Redfish,
Ocean perch, Pacific Ocean
perch)",Yes,Grocerystore,ottawa,2018,"Snapper, BC",Snapper,"Pacific ocean perch
",perch,1
Snapper,"Pristipomoides
filamentosus",Crimson jobfish (n/a),"Yes – P. filamentosus not on
CFIA’s fish list",Restaurant,ottawa,2018,Snapper,Snapper,Crimson jobfish,jobfish,0
Snapper,Oreochromis niloticus,"Nile tilapia (Nile tilapia,
tilapia)",Yes,Restaurant,ottawa,2018,Snapper,Snapper,Nile tilapia,Tilapia,1
"Snapper, Red",Lutjanus synagris,"Lane snapper (Lane
snapper, snapper)",Yes,Restaurant,ottawa,2018,"Snapper, Red",Snapper,Lane snapper,Snapper,1
"Snapper, Red","Sebastes reedi or S.
polyspinis or S.crameri","Rockfish
S. reedi: (Rockfish, Pacific
Red snapper, Rosefish,
Yellowmouth rockfish)
S. polyspinis: (Rockfish,
Northern rockfish)
S.crameri: (Rockfish,
Darkblotched rockfish,
Pacific snapper)",Yes,Restaurant,ottawa,2018,"Snapper, Red",Snapper,"Rockfish
S. reedi:",reedi:,1
"Snapper, Red",Oreochromis niloticus,"Nile tilapia (Nile tilapia,
tilapia)",Yes,Restaurant,ottawa,2018,"Snapper, Red",Snapper,Nile tilapia,Tilapia,1
"Snapper, Red","Oreochromis
mossambicus","Mozambique tilapia
(Mozambique tilapia,
tilapia)",Yes,Restaurant,ottawa,2018,"Snapper, Red",Snapper,"Mozambique tilapia
",Tilapia,1
"Snapper, Red",Sebastes alutus,"Pacific ocean perch
(Rockfish, Rosefish, Redfish,
Ocean perch, Pacific Ocean
perch)",Yes,Restaurant,ottawa,2018,"Snapper, Red",Snapper,"Pacific ocean perch
",perch,1
"Snapper, Red","Oreochromis
mossambicus","Mozambique tilapia
(Mozambique tilapia,
tilapia)",Yes,Restaurant,ottawa,2018,"Snapper, Red",Snapper,"Mozambique tilapia
",Tilapia,1
"Snapper, Red",Oreochromis niloticus,"Nile tilapia (Nile tilapia,
tilapia)",Yes,Restaurant,ottawa,2018,"Snapper, Red",Snapper,Nile tilapia,Tilapia,1
"Snapper, Red",Oreochromis niloticus,"Nile tilapia (Nile tilapia,
tilapia)",Yes,Restaurant,ottawa,2018,"Snapper, Red",Snapper,Nile tilapia,Tilapia,1
"Snapper, Red",Oreochromis niloticus,"Nile tilapia (Nile tilapia,
tilapia)",Yes,Restaurant,ottawa,2018,"Snapper, Red",Snapper,Nile tilapia,Tilapia,1
"Sole, Dover",Solea solea,(n/a),"Yes - S. solea not on CFIA’s fish
list",Restaurant,ottawa,2018,"Sole, Dover",Sole,,,0
Sole,Limanda aspera,"Yellowfin sole (Sole,
flounder, Yellowfin sole)",No,Restaurant,ottawa,2018,Sole,Sole,Yellowfin sole,Sole,0
"Sole - Microstomus
Pacificus",Lepidopsetta bilineata,"Rock sole (Rock sole, sole,
flounder)",Yes,Grocerystore,ottawa,2018,Sole ,Sole,Rock sole,Sole,1
Sole,"Pangasianodon
(Pangasius)
hypophthalmus","Striped catfish (Pangasius,
Basa, Sutchi catfish)",Yes,Restaurant,ottawa,2018,Sole,Sole,Striped catfish,Catfish,1
"Sole, Rock",Lepidopsetta bilineata,"Rock sole (Rock sole, sole,
flounder)",No,Grocerystore,ottawa,2018,"Sole, Rock",Sole,Rock sole,Sole,0
Sole,Limanda aspera,"Yellowfin sole (Sole,
flounder, Yellowfin sole)",No,Grocerystore,ottawa,2018,Sole,Sole,Yellowfin sole,Sole,0
Sole,"Hippoglossoides
elassodon or
Hippoglossoides robustus","Sole
H. elassodon (Flathead sole,
sole, flounder)
Hippoglossoides robustus:
Bering flounder (n/a)","No (though Hi. Robustus not on
CFIA’s fish list, positive ID couldn’t
be made)",Grocerystore,ottawa,2018,Sole,Sole,"Sole
H. elassodon",elassodon,0
Sole,"Hippoglossoides
elassodon or
Hippoglossoides robustus","Sole
H. elassodon (Flathead sole,
sole, flounder)
Hippoglossoides robustus:
Bering flounder (n/a)","No (though H. Robustus not on
CFIA’s fish list, positive ID couldn’t
be made)",Grocerystore,ottawa,2018,Sole,Sole,"Sole
H. elassodon",elassodon,0
"Tuna, Albacore",Thunnus alalunga,"Albacore tuna (Albacore,
Albacore tuna, tuna)",No,Restaurant,ottawa,2018,"Tuna, Albacore",Tuna,Albacore tuna,tuna ,0
"Tuna, Albacore White",Thunnus alalunga,"Albacore tuna (Albacore,
Albacore tuna, tuna)",No,Restaurant,ottawa,2018,"Tuna, Albacore White",Tuna,Albacore tuna,tuna ,0
"Tuna, Yellow Tail",Seriola quinqueradiata,"Japanese Amberjack
(Japanese Amberjack)",Yes,Restaurant,ottawa,2018,"Tuna, Yellow Tail",Tuna,"Japanese Amberjack
",Amberjack,1
"Tuna, Yellowfin",Thunnus albacares,"Yellowfin tuna (Yellowfin,
Yellowfin tuna, tuna)",No,Restaurant,ottawa,2018,"Tuna, Yellowfin",Tuna,Yellowfin tuna,tuna ,0
"Tuna, Red",Thunnus obesus,"Bigeye tuna (Bigeye tuna,
tuna)","Yes – Red tuna not acceptable
market name",Restaurant,ottawa,2018,"Tuna, Red",Tuna,Bigeye tuna,tuna ,0
"Tuna, Albacore",Thunnus alalunga,"Albacore tuna (Albacore,
Albacore tuna, tuna)",No,Restaurant,ottawa,2018,"Tuna, Albacore",Tuna,Albacore tuna,tuna ,0
"Tuna, Red",Thunnus albacares,"Yellowfin tuna (Yellowfin,
Yellowfin tuna, tuna)","Yes – Red tuna not acceptable
market name",Restaurant,ottawa,2018,"Tuna, Red",Tuna,Yellowfin tuna,tuna ,0
"Tuna, Albacore",Thunnus alalunga,"Albacore tuna (Albacore,
Albacore tuna, tuna)",No,Restaurant,ottawa,2018,"Tuna, Albacore",Tuna,Albacore tuna,tuna ,0
"Tuna, Albacore",Thunnus alalunga,"Albacore tuna (Albacore,
Albacore tuna, tuna)",No,Restaurant,ottawa,2018,"Tuna, Albacore",Tuna,Albacore tuna,tuna ,0
"Tuna, Bigeye",Thunnus obesus,"Bigeye tuna (Bigeye tuna,
tuna)",No,Restaurant,ottawa,2018,"Tuna, Bigeye",Tuna,Bigeye tuna,tuna ,0
"Tuna, Albacore",Thunnus alalunga,"Albacore tuna (Albacore,
Albacore tuna, tuna)",No,Restaurant,ottawa,2018,"Tuna, Albacore",Tuna,Albacore tuna,tuna ,0
Tuna,Thunnus albacares,"Yellowfin tuna (Yellowfin,
Yellowfin tuna, tuna)",No,Restaurant,ottawa,2018,Tuna,Tuna,Yellowfin tuna,tuna ,0
"Tuna, Yellowfin",Thunnus albacares,"Yellowfin tuna (Yellowfin,
Yellowfin tuna, tuna)",No,Grocerystore,ottawa,2018,"Tuna, Yellowfin",Tuna,Yellowfin tuna,tuna ,0
Tuna,Thunnus obesus,"Bigeye tuna (Bigeye tuna,
tuna)",No,Grocerystore,ottawa,2018,Tuna,Tuna,Bigeye tuna,tuna ,0
"Tuna, Albacore",Thunnus alalunga,"Albacore tuna (Albacore,
Albacore tuna, tuna)",No,Restaurant,ottawa,2018,"Tuna, Albacore",Tuna,Albacore tuna,tuna ,0
"Tuna, Albacore",Thunnus alalunga,"Albacore tuna (Albacore,
Albacore tuna, tuna)",No,Restaurant,ottawa,2018,"Tuna, Albacore",Tuna,Albacore tuna,tuna ,0
"Tuna, BC Albacore",Thunnus alalunga,"Albacore tuna (Albacore,
Albacore tuna, tuna)",No,Restaurant,ottawa,2018,"Tuna, BC Albacore",Tuna,Albacore tuna,tuna ,0
"Tuna, White","Lepidocybium
flavobrunneum","Escolar (Escolar, Snake
mackerel)",Yes,Restaurant,ottawa,2018,"Tuna, White",Tuna,Escolar,Escolar,1
"Tuna, White","Lepidocybium
flavobrunneum","Escolar (Escolar, Snake
mackerel)",Yes,Restaurant,ottawa,2018,"Tuna, White",Tuna,Escolar,Escolar,1
"Tuna, White","Lepidocybium
flavobrunneum","Escolar (Escolar, Snake
mackerel)",Yes,Restaurant,ottawa,2018,"Tuna, White",Tuna,Escolar,Escolar,1
"Tuna, White","Lepidocybium
flavobrunneum","Escolar (Escolar, Snake
mackerel)",Yes,Restaurant,ottawa,2018,"Tuna, White",Tuna,Escolar,Escolar,1
"Tuna, White",Thunnus alalunga,"Albacore tuna (Albacore,
Albacore tuna, tuna)","Yes - White tuna not acceptable
market name",Restaurant,ottawa,2018,"Tuna, White",Tuna,Albacore tuna,tuna ,0
Yellowtail,Seriola quinqueradiata,"Japanese Amberjack
(Japanese Amberjack)",Yes,Restaurant,ottawa,2018,Yellowtail,Yellowtail,"Japanese Amberjack
",Amberjack,1
Yellowtail,Seriola quinqueradiata,"Japanese Amberjack
(Japanese Amberjack)",Yes,Restaurant,ottawa,2018,Yellowtail,Yellowtail,"Japanese Amberjack
",Amberjack,1
Yellowtail,Seriola quinqueradiata,"Japanese Amberjack
(Japanese Amberjack)",Yes,Restaurant,ottawa,2018,Yellowtail,Yellowtail,"Japanese Amberjack
",Amberjack,1
White fish,Oreochromis niloticus,"Nile tilapia (Nile tilapia,
tilapia)",Yes,Restaurant,ottawa,2018,White fish,fish,Nile tilapia,Tilapia,1
Amberjack,Seriola dumerili,"Amberjack (Rudderfish,
Greater amberjack,
Amberjack)",No,Restaurant,toronto,2018,Amberjack,Amberjack,Amberjack,Amberjack,0
Black Cod,"Hippoglossus
stenolepis","Pacific halibut (Halibut,
Pacific halibut)",Yes,Restaurant,toronto,2018,Black Cod,Cod,Pacific halibut,Halibut,1
Butterfish,"Lepidocybium
flavobrunneum","Escolar (Escolar, Snake
Mackerel)",Yes,Restaurant,toronto,2018,Butterfish,Butterfish,Escolar,Escolar,1
Butterfish,"Lepidocybium
flavobrunneum","Escolar (Escolar, Snake
Mackerel)",Yes,Restaurant,toronto,2018,Butterfish,Butterfish,Escolar,Escolar,1
Butterfish,"Lepidocybium
flavobrunneum","Escolar (Escolar, Snake
Mackerel)",Yes,Restaurant,toronto,2018,Butterfish,Butterfish,Escolar,Escolar,1
Butterfish,"Lepidocybium
flavobrunneum","Escolar (Escolar, Snake
Mackerel)",Yes,Restaurant,toronto,2018,Butterfish,Butterfish,Escolar,Escolar,1
Cod,Gadus morhua,"Atlantic cod (Atlantic cod,
Cod)",No,Grocerystore,toronto,2018,Cod,Cod,Atlantic cod,Cod,0
"Cod, Atlantic","Gadus
macrocephalus","Pacific cod (Pacific cod,
Cod)",Yes,Grocerystore,toronto,2018,"Cod, Atlantic",Cod,Pacific cod,Cod,1
"Cod, Atlantic",Gadus morhua,"Atlantic cod (Atlantic cod,
Cod)",No,Grocerystore,toronto,2018,"Cod, Atlantic",Cod,Atlantic cod,Cod,0
"Cod, Atlantic",Gadus morhua,"Atlantic cod (Atlantic cod,
Cod)",No,Grocerystore,toronto,2018,"Cod, Atlantic",Cod,Atlantic cod,Cod,0
"Cod, Atlantic",Gadus morhua,"Atlantic cod (Atlantic cod,
Cod)",No,Grocerystore,toronto,2018,"Cod, Atlantic",Cod,Atlantic cod,Cod,0
"Cod, Fogo",Gadus morhua,"Atlantic cod (Atlantic cod,
Cod)",No,Restaurant,toronto,2018,"Cod, Fogo",Cod,Atlantic cod,Cod,0
"Cod, Fogo Island",Gadus morhua,"Atlantic cod (Atlantic cod,
Cod)",No,Restaurant,toronto,2018,"Cod, Fogo Island",Cod,Atlantic cod,Cod,0
"Cod, Icelandic",Gadus morhua,"Atlantic cod (Atlantic cod,
Cod)",No,Grocerystore,toronto,2018,"Cod, Icelandic",Cod,Atlantic cod,Cod,0
"Cod, Icelandic",Gadus morhua,"Atlantic cod (Atlantic cod,
Cod)",No,Grocerystore,toronto,2018,"Cod, Icelandic",Cod,Atlantic cod,Cod,0
"Cod, Icelandic",Gadus morhua,"Atlantic cod (Atlantic cod,
Cod)",No,Grocerystore,toronto,2018,"Cod, Icelandic",Cod,Atlantic cod,Cod,0
"Cod, Pacific","Ophiodon
elongatus",Lingcod (Lingcod),Yes,Restaurant,toronto,2018,"Cod, Pacific",Cod,Lingcod,Lingcod,1
"Cod, Pacific",Gadus morhua,"Atlantic cod (Atlantic cod,
Cod)",Yes,Restaurant,toronto,2018,"Cod, Pacific",Cod,Atlantic cod,Cod,1
"Cod, Pacific","Melanogrammus
aeglefinus",Haddock (Haddock),Yes,Restaurant,toronto,2018,"Cod, Pacific",Cod,Haddock,Haddock,1
Flounder,"Paralichthys
dentatus","Summer flounder
(Summer flounder, Fluke,
Flounder)",No,Grocerystore,toronto,2018,Flounder,Flounder,"Summer flounder
",flounder,0
Grouper,"Pangasianodon
(Pangasius)
hypophthalmus","Striped catfish (Pangasius,
Basa, Sutchi catfish)",Yes,Restaurant,toronto,2018,Grouper,Grouper,Striped catfish,Catfish,1
Grouper,"Pangasianodon
(Pangasius)
hypophthalmus","Striped catfish (Pangasius,
Basa, Sutchi catfish)",Yes,Restaurant,toronto,2018,Grouper,Grouper,Striped catfish,Catfish,1
"Grouper, Yellow","Hyporthodus
flavolimbatus","Yellowedge
grouper (n/a)",Yes - not on CFIA's Fish List,Grocerystore,toronto,2018,"Grouper, Yellow",Grouper,"Yellowedge
grouper",grouper,0
Halibut,"Paralichthys
californicus","California flounder
(Flounder, California
flounder, California
halibut)",Yes,Restaurant,toronto,2018,Halibut,Halibut,"California flounder
",flounder,1
"Halibut, Atlantic","Reinhardtius
hippoglossoides","Greenland turbot
(Greenland turbot, Black
turbot, Turbot, American
turbot, Newfoundland
turbot)",Yes,Restaurant,toronto,2018,"Halibut, Atlantic",Halibut,"Greenland turbot
",Turbot,1
"Halibut, Atlantic","Hippoglossus
hippoglossus","Atlantic halibut (Atlantic
halibut, Halibut)",No,Fishmarket,toronto,2018,"Halibut, Atlantic",Halibut,Atlantic halibut,Halibut,0
"Halibut, Atlantic","Hippoglossus
hippoglossus","Atlantic halibut (Atlantic
halibut, Halibut)",No,Restaurant,toronto,2018,"Halibut, Atlantic",Halibut,Atlantic halibut,Halibut,0
"Halibut, Atlantic","Hippoglossus
hippoglossus","Atlantic halibut (Atlantic
halibut, Halibut)",No,Restaurant,toronto,2018,"Halibut, Atlantic",Halibut,Atlantic halibut,Halibut,0
"Halibut, Haida Gwaii","Hippoglossus
hippoglossus","Atlantic halibut (Atlantic
halibut, Halibut)",Yes,Restaurant,toronto,2018,"Halibut, Haida Gwaii",Halibut,Atlantic halibut,Halibut,1
"Halibut, Pacific","Hippoglossus
hippoglossus","Atlantic halibut (Atlantic
halibut, Halibut)",Yes,Restaurant,toronto,2018,"Halibut, Pacific",Halibut,Atlantic halibut,Halibut,1
"Halibut, Pacific","Hippoglossus
hippoglossus","Atlantic halibut (Atlantic
halibut, Halibut)",Yes,Restaurant,toronto,2018,"Halibut, Pacific",Halibut,Atlantic halibut,Halibut,1
"Halibut, Pacific","Hippoglossus
stenolepis","Pacific halibut (Pacific
halibut, Halibut)",No,Grocerystore,toronto,2018,"Halibut, Pacific",Halibut,Pacific halibut,Halibut,0
"Halibut, Pacific","Hippoglossus
stenolepis","Pacific halibut (Pacific
halibut, Halibut)",No,Grocerystore,toronto,2018,"Halibut, Pacific",Halibut,Pacific halibut,Halibut,0
Pickerel,Sander vitreus,"Pickerel (Yellow pickerel,
Walleye pike, Walleye,
Pickerel)",No,Grocerystore,toronto,2018,Pickerel,Pickerel,Pickerel,Pickerel,0
Pickerel,Sander vitreus,"Pickerel (Yellow pickerel,
Walleye pike, Walleye,
Pickerel)",No,Restaurant,toronto,2018,Pickerel,Pickerel,Pickerel,Pickerel,0
Pickerel,Sander vitreus,"Pickerel (Yellow pickerel,
Walleye pike, Walleye,
Pickerel)",No,Grocerystore,toronto,2018,Pickerel,Pickerel,Pickerel,Pickerel,0
"Rockfish, Pacific",Sebastes reedi,"Yellowmouth
Rockfish (Rosefish,
Rockfish, Pacific Red
Snapper, Yellowmouth
rockfish)",No,Grocerystore,toronto,2018,"Rockfish, Pacific",Rockfish,"Yellowmouth
Rockfish","rockfish
",0
"Salmon, BC",Salmo salar,"Atlantic salmon (Atlantic
salmon, salmon)",Yes,Restaurant,toronto,2018,"Salmon, BC",Salmon,Atlantic salmon,Salmon,1
"Salmon, Chinook",Salmo salar,"Atlantic salmon (Atlantic
salmon, salmon)",Yes,Restaurant,toronto,2018,"Salmon, Chinook",Salmon,Atlantic salmon,Salmon,1
"Salmon, Chinook","Oncorhynchus
tshawytscha","Chinook salmon (Pink
chinook, King salmon,
Chinook salmon, Spring
salmon, Chinook, Red
Chinook, White Chinook)",No,Restaurant,toronto,2018,"Salmon, Chinook",Salmon,Chinook salmon,Salmon,0
"Salmon, Coho","Oncorhynchus
kisutch","Coho salmon (Coho
salmon, Medium red coho
salmon, Blueback salmon)",No,Restaurant,toronto,2018,"Salmon, Coho",Salmon,Coho salmon,Salmon,0
"Salmon, Coho","Oncorhynchus
kisutch","Coho salmon (Coho
salmon, Medium red coho
salmon, Blueback salmon)",No,Grocerystore,toronto,2018,"Salmon, Coho",Salmon,Coho salmon,Salmon,0
"Salmon, Coho","Oncorhynchus
kisutch","Coho salmon (Coho
salmon, Medium red coho
salmon, Blueback salmon)",No,Grocerystore,toronto,2018,"Salmon, Coho",Salmon,Coho salmon,Salmon,0
